"persid","hhid","age_band","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","TRAVYEAR","REGION","SA1_CODE_2021","participant_wt","ses"
"100089/1000",100089,"60-64 years",14,62,"female","employed","No",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane","30501110611",474.000030517578,"10"
"100114/1000",100114,"55-59 years",13,57,"female","employed","Yes",NA,"Clerical and Administrative Worker","Public Administration and Safety",2021,"Greater Brisbane","30501110611",568.320922851562,"10"
"100114/1001",100114,"20-24 years",6,22,"male","employed","Yes",NA,"Technicians and Trades Worker","Accommodation and Food Services",2021,"Greater Brisbane","30501110611",1088.4951171875,"10"
"100114/1002",100114,"15-19 years",5,17,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30501110611",609.817321777344,"10"
"100116/1000",100116,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31304137544",151.590209960938,"10"
"100116/1001",100116,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31304137544",171.396911621094,"10"
"100123/1000",100123,"25-29 years",7,27,"female","employed","Yes",NA,"Technicians and Trades Worker","Arts and Recreation Services",2021,"Greater Brisbane","30501110611",1022.24871826172,"10"
"100123/1001",100123,"30-34 years",8,32,"male","employed","Yes",NA,"Clerical and Administrative Worker","Public Administration and Safety",2021,"Greater Brisbane","30501110611",825.542541503906,"10"
"100132/1000",100132,"40-44 years",10,42,"female","employed","Yes",NA,"Clerical and Administrative Worker","Health Care and Social Assistance",2021,"Greater Brisbane","30501110611",533.81396484375,"10"
"100132/1001",100132,"15-19 years",5,17,"female","employed","No","Full time","Sales Workers","Retail Trade",2021,"Greater Brisbane","30501110611",423.662170410156,"10"
"100144/1000",100144,"60-64 years",14,62,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30501110611",441.761657714844,"10"
"100146/1000",100146,"35-39 years",9,37,"female","employed","Yes",NA,"Clerical and Administrative Worker","Manufacturing",2021,"Greater Brisbane","30501110611",522.818908691406,"10"
"100146/1001",100146,"45-49 years",11,47,"male","employed","Yes",NA,"Managers","Manufacturing",2021,"Greater Brisbane","30501110611",455.289733886719,"10"
"100157/1000",100157,"45-49 years",11,47,"male","employed","Yes",NA,"Professional","Education and Training",2021,"Greater Brisbane","30102101115",167.788757324219,"10"
"100157/1001",100157,"45-49 years",11,47,"female","employed","Yes",NA,"Professional","Education and Training",2021,"Greater Brisbane","30102101115",163.545227050781,"10"
"100157/1004",100157,"75-79 years",17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101115",149.016342163086,"10"
"100157/1005",100157,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101115",158.734878540039,"10"
"100158/1000",100158,"55-59 years",13,57,"male","employed","Yes",NA,"Managers","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30102101115",132.476211547852,"10"
"100158/1001",100158,"40-44 years",10,42,"female","employed","No",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30102101115",119.332992553711,"10"
"100159/1000",100159,"60-64 years",14,62,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101115",93.5367965698242,"10"
"100159/1001",100159,"55-59 years",13,57,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101115",94.9781875610352,"10"
"100181/1000",100181,"45-49 years",11,47,"female","employed","Yes",NA,"Managers","Arts and Recreation Services",2021,"Greater Brisbane","30501110611",544.801513671875,"10"
"100181/1001",100181,"45-49 years",11,47,"male","employed","Yes",NA,"Technicians and Trades Worker","Construction",2021,"Greater Brisbane","30501110611",455.289733886719,"10"
"100182/1000",100182,"40-44 years",10,42,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31004130208",122.080093383789,"1"
"100182/1001",100182,"35-39 years",9,37,"female","employed","Yes",NA,"Clerical and Administrative Worker","Administrative and Support Services",2021,"Greater Brisbane","31004130208",126.796051025391,"1"
"100184/1000",100184,"25-29 years",7,27,"male","employed","No",NA,"Community and Personal Service Workers","Health Care and Social Assistance",2021,"Greater Brisbane","31004130208",228.088623046875,"1"
"100184/1001",100184,"50-54 years",12,52,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31004130208",170.989166259766,"1"
"100184/1002",100184,"20-24 years",6,22,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31004130208",233.046676635742,"1"
"100187/1000",100187,"30-34 years",8,32,"male","employed","No",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane","31004130208",142.32405090332,"1"
"100190/1000",100190,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31004130208",170.002777099609,"1"
"100190/1001",100190,"55-59 years",13,57,"male","employed","Yes",NA,"Clerical and Administrative Worker","Transport, Postal and Warehousing",2021,"Greater Brisbane","31004130208",159.136917114258,"1"
"100364/1000",100364,"30-34 years",8,32,"male","employed","No",NA,"Labourers","Other Services",2021,"Greater Brisbane","31106133231",139.366546630859,"5"
"100364/1001",100364,"35-39 years",9,37,"female","employed","Yes",NA,"Labourers","Other Services",2021,"Greater Brisbane","31106133231",140.541229248047,"5"
"100365/1000",100365,"50-54 years",12,52,"female","employed","No",NA,"Community and Personal Service Workers","Education and Training",2021,"Greater Brisbane","30102101115",69.2914581298828,"10"
"100365/1001",100365,"50-54 years",12,52,"male","employed","Yes",NA,"Managers","Electricity, Gas, Water and Waste Services",2021,"Greater Brisbane","30102101115",76.2739486694336,"10"
"100367/1000",100367,"50-54 years",12,52,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101115",135.186767578125,"10"
"100367/1001",100367,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30102101115",148.809509277344,"10"
"100367/1002",100367,"20-24 years",6,22,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101115",228.728454589844,"10"
"100367/1003",100367,"20-24 years",6,22,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101115",228.728454589844,"10"
"100367/1004",100367,"20-24 years",6,22,"female","employed","No","Part time","Sales Workers","Retail Trade",2021,"Greater Brisbane","30102101115",178.773422241211,"10"
"100371/1000",100371,"25-29 years",7,27,"male","employed","Yes",NA,"Professional","Financial and Insurance Services",2021,"Greater Brisbane","30501110611",1189.41027832031,"10"
"100371/1001",100371,"25-29 years",7,27,"female","employed","Yes",NA,"Managers","Transport, Postal and Warehousing",2021,"Greater Brisbane","30501110611",1240.35559082031,"10"
"100371/1002",100371,"25-29 years",7,27,"female","employed","Yes",NA,"Clerical and Administrative Worker","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30501110611",1240.35559082031,"10"
"100375/1000",100375,"50-54 years",12,52,"male","employed","Yes",NA,NA,"Public Administration and Safety",2021,"Greater Brisbane","31106133231",145.04621887207,"5"
"100376/1000",100376,"20-24 years",6,22,"female","employed","Yes",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane","31106133231",143.811325073242,"5"
"100376/1001",100376,"20-24 years",6,22,"male","employed","Yes",NA,"Managers","Wholesale Trade",2021,"Greater Brisbane","31106133231",135.873886108398,"5"
"100377/1000",100377,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30501110611",474.000030517578,"10"
"100383/1000",100383,"65-69 years",15,67,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30501110611",380.566589355469,"10"
"100388/1000",100388,"20-24 years",6,22,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30501110611",897.091674804688,"10"
"100388/1001",100388,"20-24 years",6,22,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30501110611",897.091674804688,"10"
"100393/1000",100393,"50-54 years",12,52,"male","employed","Yes",NA,"Labourers","Manufacturing",2021,"Greater Brisbane","31004130208",228.976974487305,"1"
"100393/1001",100393,"45-49 years",11,47,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31004130208",197.133209228516,"1"
"100393/1002",100393,"15-19 years",5,17,"female","employed","No",NA,"Community and Personal Service Workers","Retail Trade",2021,"Greater Brisbane","31004130208",215.904037475586,"1"
"100393/1003",100393,"15-19 years",5,17,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31004130208",203.738250732422,"1"
"100394/1000",100394,"50-54 years",12,52,"female","employed","Yes",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane","31304137539",308.720367431641,"6"
"100394/1001",100394,"50-54 years",12,52,"male","employed","Yes",NA,"Clerical and Administrative Worker","Manufacturing",2021,"Greater Brisbane","31304137539",294.340179443359,"6"
"100397/1000",100397,"55-59 years",13,57,"female","employed","No",NA,"Clerical and Administrative Worker","Financial and Insurance Services",2021,"Greater Brisbane","30102101115",145.776504516602,"10"
