persid,cluster_id,household_id,participant_id,age_band,sex,year,trip_id,trip_purpose,participant_wt,trips_wt,trip_mode,trip_duration,trip_distance,day_type,trip_id_2,age_group,dist_cat
100049/1002,NA,100049,16,15-19 years,male,21,46,Other,218.963638305664,218.963638305664,pedestrian,14,1.39,weekday,2,15 to 19,1-2km
100049/1002,NA,100049,16,15-19 years,male,21,47,Other,218.963638305664,218.963638305664,train,13,7.25,weekday,2,15 to 19,6-10km
100049/1002,NA,100049,16,15-19 years,male,21,48,Other,218.963638305664,218.963638305664,pedestrian,5,0.81,weekday,2,15 to 19,<1km
100049/1002,NA,100049,16,15-19 years,male,21,49,Other,218.963638305664,218.963638305664,pedestrian,7,1.85,weekday,3,15 to 19,1-2km
100049/1002,NA,100049,16,15-19 years,male,21,50,Other,218.963638305664,218.963638305664,car,42,23.75,weekday,3,15 to 19,>10km
100056/1000,NA,100056,17,45-49 years,female,21,51,Other,253.594482421875,253.594482421875,car,10,2.11,weekday,1,40 to 64,3-5km
100056/1000,NA,100056,17,45-49 years,female,21,52,Other,253.594482421875,253.594482421875,car,15,2.11,weekday,2,40 to 64,3-5km
100056/1000,NA,100056,17,45-49 years,female,21,53,Other,253.594482421875,253.594482421875,car,14,2.11,weekday,3,40 to 64,3-5km
100056/1000,NA,100056,17,45-49 years,female,21,54,Other,253.594482421875,253.594482421875,car,15,2.11,weekday,4,40 to 64,3-5km
100060/1000,NA,100060,18,40-44 years,female,21,55,Shopping,183.191558837891,183.191558837891,car,5,2.01,weekday,1,40 to 64,3-5km
100060/1000,NA,100060,18,40-44 years,female,21,56,Shopping,183.191558837891,183.191558837891,car,5,1.99,weekday,2,40 to 64,1-2km
100060/1000,NA,100060,18,40-44 years,female,21,57,Shopping,183.191558837891,183.191558837891,car,10,5.92,weekday,3,40 to 64,6-10km
100060/1000,NA,100060,18,40-44 years,female,21,58,Shopping,183.191558837891,183.191558837891,car,10,5.8,weekday,4,40 to 64,6-10km
100060/1000,NA,100060,18,40-44 years,female,21,59,Other,183.191558837891,183.191558837891,car,9,5.01,weekday,5,40 to 64,6-10km
100060/1000,NA,100060,18,40-44 years,female,21,60,Other,183.191558837891,183.191558837891,car,10,4.98,weekday,6,40 to 64,3-5km
100061/1000,NA,100061,19,25-29 years,male,21,61,Work,564.866821289062,564.866821289062,car,44,51.29,weekday,1,20 to 39,>10km
100061/1000,NA,100061,19,25-29 years,male,21,62,Shopping,564.866821289062,564.866821289062,car,65,49.27,weekday,2,20 to 39,>10km
100061/1000,NA,100061,19,25-29 years,male,21,63,Shopping,564.866821289062,564.866821289062,car,8,0.93,weekday,3,20 to 39,<1km
100061/1000,NA,100061,19,25-29 years,male,21,64,Shopping,564.866821289062,564.866821289062,car,10,3.46,weekday,4,20 to 39,3-5km
100069/1000,NA,100069,20,65-69 years,male,21,65,Other,351.451293945312,351.451293945312,car,37,15.59,weekday,1,65 plus,>10km
100069/1000,NA,100069,20,65-69 years,male,21,66,Shopping,351.451293945312,351.451293945312,car,19,5.6,weekday,2,65 plus,6-10km
100069/1000,NA,100069,20,65-69 years,male,21,67,Other,351.451293945312,351.451293945312,car,15,5.58,weekday,3,65 plus,6-10km
100069/1000,NA,100069,20,65-69 years,male,21,68,Other,351.451293945312,351.451293945312,car,30,15.49,weekday,4,65 plus,>10km
100069/1000,NA,100069,20,65-69 years,male,21,69,Other,351.451293945312,351.451293945312,car,20,11.21,weekday,5,65 plus,>10km
100069/1000,NA,100069,20,65-69 years,male,21,70,Other,351.451293945312,351.451293945312,car,17,10.78,weekday,6,65 plus,>10km
100069/1001,NA,100069,21,65-69 years,female,21,71,Other,304.822784423828,304.822784423828,car,14,9.06,weekday,1,65 plus,6-10km
100069/1001,NA,100069,21,65-69 years,female,21,72,Other,304.822784423828,304.822784423828,car,14,9.04,weekday,2,65 plus,6-10km
100069/1001,NA,100069,21,65-69 years,female,21,73,Shopping,304.822784423828,304.822784423828,car,8,1.36,weekday,3,65 plus,1-2km
100069/1001,NA,100069,21,65-69 years,female,21,74,Shopping,304.822784423828,304.822784423828,car,10,1.36,weekday,4,65 plus,1-2km
100070/1000,NA,100070,22,50-54 years,female,21,75,Other,545.808776855469,545.808776855469,car,12,5.19,weekday,1,40 to 64,6-10km
100070/1000,NA,100070,22,50-54 years,female,21,76,Other,545.808776855469,545.808776855469,car,15,5.24,weekday,2,40 to 64,6-10km
100070/1000,NA,100070,22,50-54 years,female,21,77,Leisure,545.808776855469,545.808776855469,pedestrian,17,1.22,weekday,3,40 to 64,1-2km
100070/1000,NA,100070,22,50-54 years,female,21,78,Leisure,545.808776855469,545.808776855469,pedestrian,23,1.22,weekday,4,40 to 64,1-2km
100070/1000,NA,100070,22,50-54 years,female,21,79,Other,545.808776855469,545.808776855469,car,15,5.19,weekday,5,40 to 64,6-10km
100070/1000,NA,100070,22,50-54 years,female,21,80,Other,545.808776855469,545.808776855469,car,17,5.24,weekday,6,40 to 64,6-10km
100070/1000,NA,100070,22,50-54 years,female,21,81,Shopping,545.808776855469,545.808776855469,car,10,4.16,weekday,7,40 to 64,3-5km
100070/1000,NA,100070,22,50-54 years,female,21,82,Shopping,545.808776855469,545.808776855469,car,15,4.33,weekday,8,40 to 64,3-5km
100070/1000,NA,100070,22,50-54 years,female,21,83,Education,545.808776855469,545.808776855469,car,8,5.19,weekday,9,40 to 64,6-10km
100070/1000,NA,100070,22,50-54 years,female,21,84,Education,545.808776855469,545.808776855469,car,13,5.24,weekday,10,40 to 64,6-10km
100070/1001,NA,100070,23,50-54 years,male,21,85,Work,549.466125488281,549.466125488281,car,30,20.79,weekday,1,40 to 64,>10km
100070/1001,NA,100070,23,50-54 years,male,21,86,Education,549.466125488281,549.466125488281,car,30,17.96,weekday,2,40 to 64,>10km
100070/1001,NA,100070,23,50-54 years,male,21,87,Education,549.466125488281,549.466125488281,car,10,5.24,weekday,3,40 to 64,6-10km
100071/1000,NA,100071,24,65-69 years,male,21,88,Work,378.907562255859,378.907562255859,car,60,32.24,weekday,1,65 plus,>10km
100071/1000,NA,100071,24,65-69 years,male,21,89,Work,378.907562255859,378.907562255859,car,60,32.21,weekday,2,65 plus,>10km
100071/1001,NA,100071,25,60-64 years,female,21,90,Work,471.933685302734,471.933685302734,car,45,19.09,weekday,1,40 to 64,>10km
100071/1001,NA,100071,25,60-64 years,female,21,91,Work,471.933685302734,471.933685302734,car,45,19.4,weekday,2,40 to 64,>10km
