"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"100031/1002",NA,100031,8,"50-54 years","male",21,22,"Work",205.661956787109,205.661956787109,"car",0.75,16.25,"weekday",2,"40 to 64",">10km","car",16.25,0.75,5.25,5.25
"100031/1003",NA,100031,9,"15-19 years","male",21,23,"Education",261.753723144531,261.753723144531,"car",0.0833333333333333,2.28,"weekday",1,"15 to 19","3-5km","car",2.28,0.0833333333333333,0.583333333333333,0.583333333333333
"100031/1003",NA,100031,9,"15-19 years","male",21,24,"Education",261.753723144531,261.753723144531,"car",0.0833333333333333,2.22,"weekday",2,"15 to 19","3-5km","car",2.22,0.0833333333333333,0.583333333333333,0.583333333333333
"100039/1000",NA,100039,10,"55-59 years","female",21,25,"Other",124.50057220459,124.50057220459,"car",2,154.3,"weekday",1,"40 to 64",">10km","car",154.3,2,14,14
"100039/1000",NA,100039,10,"55-59 years","female",21,26,"Shopping",124.50057220459,124.50057220459,"car",0.166666666666667,2.75,"weekday",2,"40 to 64","3-5km","car",2.75,0.166666666666667,1.16666666666667,1.16666666666667
"100039/1000",NA,100039,10,"55-59 years","female",21,27,"Shopping",124.50057220459,124.50057220459,"car",0.166666666666667,2.74,"weekday",3,"40 to 64","3-5km","car",2.74,0.166666666666667,1.16666666666667,1.16666666666667
"100039/1000",NA,100039,10,"55-59 years","female",21,28,"Leisure",124.50057220459,124.50057220459,"car",0.166666666666667,1.18,"weekday",4,"40 to 64","1-2km","bicycle",1.18,0.107272727272727,1.16666666666667,0.750909090909091
"100039/1000",NA,100039,10,"55-59 years","female",21,29,"Leisure",124.50057220459,124.50057220459,"car",0.0833333333333333,1.18,"weekday",5,"40 to 64","1-2km","bicycle",1.18,0.107272727272727,0.583333333333333,0.750909090909091
"100039/1001",NA,100039,11,"60-64 years","male",21,30,"Other",144.323944091797,144.323944091797,"car",2,154.3,"weekday",1,"40 to 64",">10km","car",154.3,2,14,14
"100039/1001",NA,100039,11,"60-64 years","male",21,31,"Leisure",144.323944091797,144.323944091797,"car",0.166666666666667,2.75,"weekday",2,"40 to 64","3-5km","car",2.75,0.166666666666667,1.16666666666667,1.16666666666667
"100039/1001",NA,100039,11,"60-64 years","male",21,32,"Other",144.323944091797,144.323944091797,"car",0.583333333333333,12.96,"weekday",3,"40 to 64",">10km","car",12.96,0.583333333333333,4.08333333333333,4.08333333333333
"100039/1001",NA,100039,11,"60-64 years","male",21,33,"Leisure",144.323944091797,144.323944091797,"car",0.25,3.2,"weekday",4,"40 to 64","3-5km","car",3.2,0.25,1.75,1.75
