"persid","hhid","age_band","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","TRAVYEAR","REGION","SA1_CODE_2021","participant_wt","ses","time_base_car","distance_base_car","time_base_walking","distance_base_walking","time_base_public.transport","distance_base_public.transport","time_base_other","distance_base_other","time_base_bicycle","distance_base_bicycle","time_scen_car","distance_scen_car","time_scen_walking","distance_scen_walking","time_scen_public.transport","distance_scen_public.transport","time_scen_other","distance_scen_other","time_scen_bicycle","distance_scen_bicycle","walk_base","walk_scen","walk_base_min"
"100060/1000",100060,"40-44 years",10,42,"female","employed","Yes",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane",31106132908,183.191558837891,10,5.71666666666667,25.71,0,0,0,0,0,0,0,0,0,0,3.4825,1.99,0,0,0,0,15.0945454545455,23.72,"No","Yes","No"
"100061/1000",100061,"25-29 years",7,27,"male","employed","Yes",NA,"Machinery Operators and Drivers","Manufacturing",2021,"Greater Brisbane",31302136814,564.866821289062,2,14.8166666666667,104.95,0,0,0,0,0,0,0,0,12.7166666666667,100.56,1.6275,0.93,0,0,0,0,2.20181818181818,3.46,"No","Yes","No"
"100065/1000",100065,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,136.799423217773,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100065/1001",100065,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,166.379119873047,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100066/1000",100066,"60-64 years",14,62,"male","employed","Yes",NA,"Technicians and Trades Worker","Agriculture, Forestry and Fishing",2021,"Greater Brisbane",30101100314,93.5367965698242,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100066/1001",100066,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30101100314,74.8938827514648,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100068/1000",100068,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,102.54719543457,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100068/1001",100068,"80-84 years",18,82,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,85.9947814941406,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100069/1000",100069,"65-69 years",15,67,"male","employed","Yes",NA,"Labourers","Construction",2021,"Greater Brisbane",30103101509,351.451293945312,9,16.1,64.25,0,0,0,0,0,0,0,0,12.1333333333333,53.07,0,0,0,0,0,0,7.11454545454546,11.18,"No","No","No"
"100069/1001",100069,"65-69 years",15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30103101509,304.822784423828,9,5.36666666666667,20.82,0,0,0,0,0,0,0,0,0,0,4.76,2.72,0,0,0,0,11.5181818181818,18.1,"No","Yes","No"
"100070/1000",100070,"50-54 years",12,52,"female","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30103101509,545.808776855469,9,12.25,39.78,4.66666666666667,2.44,0,0,0,0,0,0,0,0,4.66666666666667,2.44,0,0,0,0,25.3145454545455,39.78,"Yes","Yes","Yes"
"100070/1001",100070,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Professional, Scientific and Technical Services",2021,"Greater Brisbane",30103101509,549.466125488281,9,8.16666666666667,43.99,0,0,0,0,0,0,0,0,7,38.75,0,0,0,0,0,0,3.33454545454545,5.24,"No","No","No"
"100071/1000",100071,"65-69 years",15,67,"male","employed","No",NA,"Technicians and Trades Worker","Construction",2021,"Greater Brisbane",30103101509,378.907562255859,9,14,64.45,0,0,0,0,0,0,0,0,14,64.45,0,0,0,0,0,0,0,0,"No","No","No"
"100071/1001",100071,"60-64 years",14,62,"female","employed","Yes",NA,"Clerical and Administrative Worker","Wholesale Trade",2021,"Greater Brisbane",30103101509,471.933685302734,9,10.5,38.49,0,0,0,0,0,0,0,0,10.5,38.49,0,0,0,0,0,0,0,0,"No","No","No"
"100071/1002",100071,"20-24 years",6,22,"female","employed","Yes",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane",30103101509,856.685302734375,9,7,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05545454545454,14.23,"No","No","No"
"100071/1003",100071,"20-24 years",6,22,"male","employed","Yes",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane",30103101509,967.1748046875,9,7,21.12,0,0,0,0,0,0,0,0,7,21.12,0,0,0,0,0,0,0,0,"No","No","No"
"100076/1000",100076,"75-79 years",17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,121.247848510742,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100076/1001",100076,"75-79 years",17,77,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31106132908,102.54719543457,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100089/1000",100089,"60-64 years",14,62,"female","employed","No",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane",30501110611,474.000030517578,10,2.91666666666667,4.61,2.91666666666667,1.17,3.5,4.36,0,0,0,0,0,0,2.91666666666667,1.17,3.5,4.36,0,0,2.93363636363636,4.61,"Yes","Yes","Yes"
"100114/1000",100114,"55-59 years",13,57,"female","employed","Yes",NA,"Clerical and Administrative Worker","Public Administration and Safety",2021,"Greater Brisbane",30501110611,568.320922851562,10,4.08333333333333,9.47,3.5,0.68,0,0,0,0,0,0,0,0,5.285,1.7,0,0,0,0,5.37727272727273,8.45,"Yes","Yes","Yes"
"100114/1001",100114,"20-24 years",6,22,"male","employed","Yes",NA,"Technicians and Trades Worker","Accommodation and Food Services",2021,"Greater Brisbane",30501110611,1088.4951171875,10,0,0,2.33333333333333,1.28,1.75,3.05,0,0,0,0,0,0,2.33333333333333,1.28,1.75,3.05,0,0,0,0,"Yes","Yes","Yes"
"100114/1002",100114,"15-19 years",5,17,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane",30501110611,609.817321777344,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100116/1000",100116,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31304137544,151.590209960938,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No","No","No"
"100116/1001",100116,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane",31304137544,171.396911621094,10,5.83333333333333,43.9,0,0,0,0,0,0,0,0,5.83333333333333,43.9,0,0,0,0,0,0,0,0,"No","No","No"
"100123/1000",100123,"25-29 years",7,27,"female","employed","Yes",NA,"Technicians and Trades Worker","Arts and Recreation Services",2021,"Greater Brisbane",30501110611,1022.24871826172,10,0.583333333333333,0.67,1.75,0.67,0,0,0,0,0,0,0,0,2.9225,1.34,0,0,0,0,0,0,"Yes","Yes","No"
"100123/1001",100123,"30-34 years",8,32,"male","employed","Yes",NA,"Clerical and Administrative Worker","Public Administration and Safety",2021,"Greater Brisbane",30501110611,825.542541503906,10,0,0,6.41666666666667,3.67,4.08333333333333,5.43,0,0,0,0,0,0,6.41666666666667,3.67,4.08333333333333,5.43,0,0,0,0,"Yes","Yes","Yes"
"100132/1000",100132,"40-44 years",10,42,"female","employed","Yes",NA,"Clerical and Administrative Worker","Health Care and Social Assistance",2021,"Greater Brisbane",30501110611,533.81396484375,10,4.08333333333333,10.34,4.66666666666667,1.3,0,0,0,0,0,0,0,0,4.66666666666667,1.3,0,0,0,0,6.58,10.34,"Yes","Yes","Yes"
